Wall time,Step,Value
1731517824.325044,0,3.0317935943603516
1731517841.317861,1,1.458077073097229
1731517859.084065,2,1.0045360326766968
1731517878.538081,3,0.7569678425788879
1731517897.970319,4,0.5923759937286377
1731517917.049122,5,0.48704907298088074
1731517936.858987,6,0.39752015471458435
1731517956.236709,7,0.35179954767227173
1731517975.842515,8,0.30426517128944397
1731517996.001817,9,0.2721032202243805
1731518018.901902,10,0.2583172023296356
1731518041.929251,11,0.23470976948738098
1731518062.053688,12,0.21813341975212097
1731518081.541,13,0.23521891236305237
1731518100.504869,14,0.22185777127742767
1731518123.071322,15,0.21633478999137878
1731518142.294796,16,0.21222583949565887
1731518161.540464,17,0.1968790739774704
1731518180.628846,18,0.19702701270580292
1731518202.641081,19,0.18757610023021698
1731518225.552941,20,0.18783149123191833
1731518244.96064,21,0.20119760930538177
1731518264.432323,22,0.2053331732749939
1731518283.688632,23,0.19974879920482635
1731518303.154576,24,0.19241487979888916
1731518323.18863,25,0.18985238671302795
1731518342.863699,26,0.19787774980068207
1731518362.447395,27,0.18807688355445862
1731518381.547961,28,0.1809258610010147
1731518400.372783,29,0.18625377118587494
1731518419.28134,30,0.18249227106571198
1731518438.539288,31,0.1796761006116867
1731518457.915456,32,0.17960651218891144
1731518477.390037,33,0.17626892030239105
1731518496.909866,34,0.19760477542877197
1731518516.229038,35,0.19072949886322021
1731518535.716955,36,0.19454434514045715
1731518555.283857,37,0.18734732270240784
1731518574.558161,38,0.16276715695858002
1731518593.712817,39,0.15611682832241058
1731518613.028508,40,0.16032971441745758
1731518632.179732,41,0.17584404349327087
1731518651.520601,42,0.17970332503318787
1731518670.572727,43,0.1715734899044037
1731518689.595052,44,0.16563037037849426
1731518708.689924,45,0.17286725342273712
1731518727.654189,46,0.16888295114040375
1731518747.349464,47,0.16882243752479553
1731518766.996351,48,0.17291371524333954
1731518786.64989,49,0.1662837713956833
1731518806.275866,50,0.16240285336971283
1731518825.666755,51,0.15483112633228302
1731518844.98783,52,0.16615892946720123
1731518864.3901,53,0.16153550148010254
1731518883.725293,54,0.16068485379219055
1731518903.696755,55,0.153859481215477
1731518924.454942,56,0.15923769772052765
1731518946.008342,57,0.16010276973247528
1731518967.151887,58,0.1654721349477768
1731518987.529899,59,0.163277268409729
1731519008.369443,60,0.15724627673625946
1731519028.620994,61,0.1408565640449524
1731519048.626459,62,0.14798012375831604
1731519068.365408,63,0.16538500785827637
1731519087.598375,64,0.15687814354896545
1731519106.672524,65,0.13904230296611786
1731519125.141821,66,0.13832791149616241
1731519143.646063,67,0.14313392341136932
1731519162.188055,68,0.15268279612064362
1731519181.084463,69,0.15610697865486145
1731519199.957755,70,0.15083898603916168
1731519218.628115,71,0.1500062197446823
1731519238.416056,72,0.14700254797935486
1731519258.230778,73,0.1409001499414444
1731519278.043474,74,0.1499716341495514
1731519297.101712,75,0.14951564371585846
1731519316.15976,76,0.13944093883037567
1731519334.765474,77,0.15103474259376526
1731519353.296034,78,0.14798583090305328
1731519371.996359,79,0.14921480417251587
1731519390.80617,80,0.1444774717092514
1731519409.388774,81,0.15056422352790833
1731519428.115646,82,0.14170388877391815
1731519446.789561,83,0.14416839182376862
1731519465.674421,84,0.13902677595615387
1731519484.033874,85,0.12720994651317596
1731519502.702649,86,0.137467622756958
1731519521.300781,87,0.1358603537082672
1731519540.135772,88,0.12953637540340424
1731519559.375651,89,0.14276517927646637
1731519578.620259,90,0.1413911134004593
1731519597.40697,91,0.14031492173671722
1731519617.447737,92,0.13384604454040527
1731519637.938381,93,0.1528206616640091
1731519657.687934,94,0.1498313844203949
1731519676.882366,95,0.12688501179218292
1731519695.869772,96,0.1230989471077919
1731519714.8792,97,0.130271777510643
1731519733.879603,98,0.12520186603069305
1731519752.762887,99,0.11846347898244858
